"id","key","fields.issuetype.id","fields.issuetype.description","fields.issuetype.name","fields.issuetype.subtask","fields.issuetype.avatarId","fields.project.id","fields.project.key","fields.project.name","fields.project.TypeKey","fields.resolution.id","fields.resolution.description","fields.resolution.name","fields.resolutiondate","fields.workratio","fields.lastViewed","fields.watches.watchCount","fields.watches.isWatching","fields.created","fields.priority.name","fields.priority.id","fields.assignee.name","fields.assignee.key","fields.assignee.displayName","fields.assignee.active","fields.assignee.timeZone","fields.updated","fields.status.description","fields.status.name","fields.status.id","fields.status.statusCategory.id","fields.status.statusCategory.key","fields.status.statusCategory.colorName","fields.status.statusCategory.name","fields.summary","fields.creator.name","fields.creator.key","fields.creator.displayName","fields.creator.active","fields.creator.timeZone","fields.reporter.name","fields.reporter.key","fields.reporter.displayName","fields.reporter.active","fields.reporter.timeZone","fields.duedate","fields.votes.votes","fields.votes.hasVoted"
"214802","MEETING-27","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","1","A fix for this issue is checked into the tree and tested.","Fixed","2022-09-18","-1","","2","false","2022-04-02","Minor","4","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","2022-09-18","The issue is considered finished, the resolution is correct. Issues which are closed can be reopened.","Closed","6","3","done","green","Done","document cannot open in application","vigneshvicky784533","JIRAUSER142320","Vignesh R","true","UTC","vigneshvicky784533","JIRAUSER142320","Vignesh R","true","UTC","","0","false"
"166420","MEETING-20","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","1","A fix for this issue is checked into the tree and tested.","Fixed","2015-12-09","-1","","2","false","2015-11-12","Minor","4","rtyler","rtyler","R. Tyler Croy","true","UTC","2015-12-09","A developer had implemented a fix and is waiting for a feedback from the reporter.","Resolved","5","3","done","green","Done","Evaluate single transferrable vote and company quota in board election proposal","rtyler","rtyler","R. Tyler Croy","true","UTC","rtyler","rtyler","R. Tyler Croy","true","UTC","2015-11-24","0","false"
"166419","MEETING-19","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","1","A fix for this issue is checked into the tree and tested.","Fixed","2015-12-09","-1","","1","false","2015-11-11","Minor","4","rtyler","rtyler","R. Tyler Croy","true","UTC","2015-12-09","The issue is considered finished, the resolution is correct. Issues which are closed can be reopened.","Closed","6","3","done","green","Done","Update board election proposal","rtyler","rtyler","R. Tyler Croy","true","UTC","rtyler","rtyler","R. Tyler Croy","true","UTC","2015-12-08","0","false"
"165605","MEETING-15","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","1","A fix for this issue is checked into the tree and tested.","Fixed","2015-11-17","-1","","1","false","2015-10-15","Minor","4","rtyler","rtyler","R. Tyler Croy","true","UTC","2015-11-17","The issue is considered finished, the resolution is correct. Issues which are closed can be reopened.","Closed","6","3","done","green","Done","Create a request for participation for the Security team lead","rtyler","rtyler","R. Tyler Croy","true","UTC","rtyler","rtyler","R. Tyler Croy","true","UTC","","0","false"
"165604","MEETING-14","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","1","A fix for this issue is checked into the tree and tested.","Fixed","2019-07-30","-1","","1","false","2015-10-15","Minor","4","rtyler","rtyler","R. Tyler Croy","true","UTC","2019-07-30","A developer had implemented a fix and is waiting for a feedback from the reporter.","Resolved","5","3","done","green","Done","Define Infra team lead role","rtyler","rtyler","R. Tyler Croy","true","UTC","rtyler","rtyler","R. Tyler Croy","true","UTC","","0","false"
"165603","MEETING-13","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","10001","This issue won't be actioned.","Won't Do","2019-07-30","-1","","1","false","2015-10-15","Minor","4","olivergondza","olivergondza","Oliver Gondža","true","Europe/Prague","2019-07-30","A developer had implemented a fix and is waiting for a feedback from the reporter.","Resolved","5","3","done","green","Done","Define the LTS team role","rtyler","rtyler","R. Tyler Croy","true","UTC","rtyler","rtyler","R. Tyler Croy","true","UTC","","0","false"
"146972","MEETING-11","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","7","The problem is invalid, not a bug, etc.","Not A Defect","2013-01-23","-1","","2","false","2012-12-19","Minor","4","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","2013-01-23","The issue is considered finished, the resolution is correct. Issues which are closed can be reopened.","Closed","6","3","done","green","Done","i need some help","awappu_jira","awappu_jira","swapna unnam","true","UTC","awappu_jira","awappu_jira","swapna unnam","true","UTC","2012-12-11","0","false"
"146631","MEETING-10","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","2","The problem described is an issue which will never be fixed.","Won't Fix","2015-08-28","-1","","1","false","2012-11-14","Major","3","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","2015-08-28","A developer had implemented a fix and is waiting for a feedback from the reporter.","Resolved","5","3","done","green","Done","Start a travel grant fundraising","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","","0","false"
"146445","MEETING-9","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","1","A fix for this issue is checked into the tree and tested.","Fixed","2015-10-20","-1","","2","false","2012-10-31","Major","3","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","2015-10-20","A developer had implemented a fix and is waiting for a feedback from the reporter.","Resolved","5","3","done","green","Done","Get affiliated with Förderung Freier Informationen und Software","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","","0","false"
"146443","MEETING-8","3","A task that needs to be done.","Task","false","14688","10200","MEETING","Project Meeting Actions","software","1","A fix for this issue is checked into the tree and tested.","Fixed","2012-11-14","-1","","1","false","2012-10-31","Major","3","rtyler","rtyler","R. Tyler Croy","true","UTC","2012-11-14","A developer had implemented a fix and is waiting for a feedback from the reporter.","Resolved","5","3","done","green","Done","Renew meetup.com subscription","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","kohsuke","kohsuke","Kohsuke Kawaguchi","true","America/Los_Angeles","","0","false"
